"id","class","order","family","genus","species","authority","commonNameEnglish","taxonomyType","uniqueIdentifier"
2018370,"Aves","Charadriiformes","Jacanidae","Jacana",NA,NA,"Jacana Species","biological","d2f4e45e-20cd-4a88-99fc-82c9d1966e6f"
2018372,"Aves","Charadriiformes","Jacanidae","Actophilornis",NA,NA,"Actophilornis Species","biological","8384379a-2e2b-490c-85a4-dceb6aaa678a"
2018373,"Aves","Charadriiformes","Jacanidae","Metopidius",NA,NA,"Metopidius Species","biological","8c6f25ed-62d1-4e48-8a79-d82a5a8bf826"
2018374,"Aves","Charadriiformes","Jacanidae","Irediparra",NA,NA,"Irediparra Species","biological","bb93c183-2af3-470d-ac17-2c04ec514cf1"
2018375,"Aves","Charadriiformes","Jacanidae","Microparra",NA,NA,"Microparra Species","biological","a07c2c99-70c9-448f-b2e2-ba820f943688"
2018376,"Aves","Charadriiformes","Scolopacidae","Bartramia",NA,NA,"Bartramia Species","biological","cb2f243b-3618-487b-9f24-884d3774ddf5"
2018377,"Aves","Charadriiformes","Scolopacidae","Numenius",NA,NA,"Numenius Species","biological","2263ba9c-2cbd-45ca-a36c-9deb3dbbd45e"
2018379,"Aves","Charadriiformes","Scolopacidae","Arenaria",NA,NA,"Arenaria Species","biological","13fc1264-6706-43d1-ad51-d808f8922843"
2018380,"Aves","Charadriiformes","Scolopacidae","Calidris",NA,NA,"Calidris Species","biological","affeee65-66d8-45f2-85c6-b51849e448ee"
2018381,"Aves","Charadriiformes","Scolopacidae","Prosobonia",NA,NA,"Prosobonia Species","biological","a903239c-ec80-4f05-b229-a3df9300fada"
2018382,"Aves","Charadriiformes","Scolopacidae","Limnodromus",NA,NA,"Limnodromus Species","biological","980866dd-97ac-4257-b5ae-0c514388d2aa"
2018383,"Aves","Charadriiformes","Scolopacidae","Scolopax",NA,NA,"Scolopax Species","biological","a7a41c10-d33a-474a-a2c8-1de1c6510acc"
2018385,"Aves","Charadriiformes","Scolopacidae","Gallinago",NA,NA,"Gallinago Species","biological","869277f7-0ea9-4872-8a8b-0b54f2d1425f"
2018386,"Mammalia","Rodentia","Nesomyidae","Voalavo",NA,NA,"Voalavo Species","biological","15160b75-1d7d-4f58-b079-6cca8e03d096"
2018387,"Mammalia","Rodentia","Cricetidae","Volemys",NA,NA,"Volemys Species","biological","52b18028-e3d0-460a-83d3-642bd193407b"
2018388,"Mammalia","Diprotodontia","Vombatidae","Vombatus",NA,NA,"Vombatus Species","biological","a73bf1f3-349e-4c8d-a292-6724d13c1fbf"
2018389,"Mammalia","Carnivora","Mustelidae","Vormela",NA,NA,"Vormela Species","biological","fc7b84c8-886c-4789-9f51-e2fd44ebdd5b"
2018390,"Aves","Galliformes","Phasianidae","Dendragapus",NA,NA,"Dendragapus Species","biological","5121643c-3dd4-44d0-a1da-d9da0df829d3"
2018391,"Mammalia","Rodentia","Muridae","Taterillus",NA,NA,"Taterillus Species","biological","e96af52a-afbb-40a1-81cf-d25fd364427f"
2018392,"Mammalia","Carnivora","Mustelidae","Taxidea",NA,NA,"Taxidea Species","biological","2864ef25-bbe4-451a-9b1e-8e621ea0c233"
2018394,"Mammalia","Afrosoricida","Tenrecidae","Tenrec",NA,NA,"Tenrec Species","biological","4a2c7e57-4790-410c-a589-a2ad46f42897"
2018395,"Mammalia","Cetartiodactyla","Bovidae","Tetracerus",NA,NA,"Tetracerus Species","biological","e2d3f98c-165b-4530-9c56-c7d8c6113f05"
2018396,"Mammalia","Dasyuromorphia","Dasyuridae","Dasycercus",NA,NA,"Dasycercus Species","biological","39b8beab-7fa7-4828-b401-5d99b135debb"
