"project_id","deployment_id","placename","longitude","latitude","start_date","end_date","event","array_name","bait_type","bait_description","feature_type","feature_type_methodology","camera_id","quiet_period","camera_functioning","sensor_height","height_other","sensor_orientation","orientation_other","recorded_by"
1,"K6_site-2018-06-02T00:00:00.000Z-2018-07-06T00:00:00.000Z","K6_site",-122.76101,50.99414,"2018-06-02T00:00:00.000Z","2018-07-06T00:00:00.000Z","","","None","","None","",119,"","Camera Functioning","Unknown","","Parallel","",""
1,"K6_site-2018-07-06T00:00:00.000Z-2018-07-15T00:00:00.000Z","K6_site",-122.76101,50.99414,"2018-07-06T00:00:00.000Z","2018-07-15T00:00:00.000Z","","","None","","None","",119,"","Camera Functioning","Unknown","","Parallel","",""
1,"E7_site-2018-08-23T00:00:00.000Z-2018-09-18T00:00:00.000Z","E7_site",-122.980443,50.979091,"2018-08-23T00:00:00.000Z","2018-09-18T00:00:00.000Z","","","None","","None","",232,"","Camera Functioning","Unknown","","Parallel","",""
1,"H9_site-2018-07-28T00:00:00.000Z-2018-09-25T00:00:00.000Z","H9_site",-122.8804,50.93435,"2018-07-28T00:00:00.000Z","2018-09-25T00:00:00.000Z","","","None","","None","",125,"","Camera Functioning","Unknown","","Parallel","",""
1,"K9_site-2018-06-19T00:00:00.000Z-2018-06-27T00:00:00.000Z","K9_site",-122.77542,50.9194,"2018-06-19T00:00:00.000Z","2018-06-27T00:00:00.000Z","","","None","","None","",122,"","Camera Functioning","Unknown","","Parallel","",""
1,"I5_site-2018-06-05T00:00:00.000Z-2018-07-29T00:00:00.000Z","I5_site",-122.85506,51.0306,"2018-06-05T00:00:00.000Z","2018-07-29T00:00:00.000Z","","","None","","None","",126,"","Camera Functioning","Unknown","","Parallel","",""
1,"G4_site-2018-07-16T00:00:00.000Z-2018-09-02T00:00:00.000Z","G4_site",-122.915583,51.051962,"2018-07-16T00:00:00.000Z","2018-09-02T00:00:00.000Z","","","None","","None","",2,"","Camera Functioning","Unknown","","Parallel","",""
1,"L9_site-2018-06-27T00:00:00.000Z-2018-09-22T00:00:00.000Z","L9_site",-122.73557,50.92769,"2018-06-27T00:00:00.000Z","2018-09-22T00:00:00.000Z","","","None","","None","",8,"","Camera Functioning","Unknown","","Parallel","",""
1,"H5_site-2018-06-05T00:00:00.000Z-2018-07-29T00:00:00.000Z","H5_site",-122.86676,51.03341,"2018-06-05T00:00:00.000Z","2018-07-29T00:00:00.000Z","","","None","","None","",129,"","Camera Functioning","Unknown","","Parallel","",""
1,"H10_site-2018-06-01T00:00:00.000Z-2018-06-23T00:00:00.000Z","H10_site",-122.88873,50.90774,"2018-06-01T00:00:00.000Z","2018-06-23T00:00:00.000Z","","","None","","None","",109,"","Camera Functioning","Unknown","","Parallel","",""
1,"H10_site-2018-08-12T00:00:00.000Z-2018-10-03T00:00:00.000Z","H10_site",-122.88873,50.90774,"2018-08-12T00:00:00.000Z","2018-10-03T00:00:00.000Z","","","None","","None","",109,"","Camera Functioning","Unknown","","Parallel","",""
1,"L10_site-2018-06-16T00:00:00.000Z-2018-06-20T00:00:00.000Z","L10_site",-122.74538,50.90329,"2018-06-16T00:00:00.000Z","2018-06-20T00:00:00.000Z","","","None","","None","",124,"","Camera Functioning","Unknown","","Parallel","",""
1,"F7_site-2018-08-23T00:00:00.000Z-2018-09-18T00:00:00.000Z","F7_site",-122.954459,50.995506,"2018-08-23T00:00:00.000Z","2018-09-18T00:00:00.000Z","","","None","","None","",637,"","Camera Functioning","Unknown","","Parallel","",""
1,"F9_site-2018-07-27T00:00:00.000Z-2018-09-15T00:00:00.000Z","F9_site",-122.9606,50.93533,"2018-07-27T00:00:00.000Z","2018-09-15T00:00:00.000Z","","","None","","None","",123,"","Camera Functioning","Unknown","","Parallel","",""
1,"I4_site-2018-09-02T00:00:00.000Z-2018-09-23T00:00:00.000Z","I4_site",-122.841199,51.0591,"2018-09-02T00:00:00.000Z","2018-09-23T00:00:00.000Z","","","None","","None","",10,"","Camera Functioning","Unknown","","Parallel","",""
1,"J4_site-2018-06-21T00:00:00.000Z-2018-07-16T00:00:00.000Z","J4_site",-122.80943,51.06529,"2018-06-21T00:00:00.000Z","2018-07-16T00:00:00.000Z","","","None","","None","",120,"","Camera Functioning","Unknown","","Parallel","",""
1,"K5_site-2018-06-02T00:00:00.000Z-2018-07-06T00:00:00.000Z","K5_site",-122.76151,51.02452,"2018-06-02T00:00:00.000Z","2018-07-06T00:00:00.000Z","","","None","","None","",114,"","Camera Functioning","Unknown","","Parallel","",""
1,"F5_site-2018-06-13T00:00:00.000Z-2018-09-17T00:00:00.000Z","F5_site",-122.953738,51.037877,"2018-06-13T00:00:00.000Z","2018-09-17T00:00:00.000Z","","","None","","None","",235,"","Camera Functioning","Unknown","","Parallel","",""
1,"C9_site-2018-07-27T00:00:00.000Z-2018-09-15T00:00:00.000Z","C9_site",-123.07291,50.92682,"2018-07-27T00:00:00.000Z","2018-09-15T00:00:00.000Z","","","None","","None","",6,"","Camera Functioning","Unknown","","Parallel","",""
1,"J5_site-2018-06-03T00:00:00.000Z-2018-07-29T00:00:00.000Z","J5_site",-122.81128,51.03768,"2018-06-03T00:00:00.000Z","2018-07-29T00:00:00.000Z","","","None","","None","",127,"","Camera Functioning","Unknown","","Parallel","",""
1,"K9_site-2018-09-01T00:00:00.000Z-2018-09-21T00:00:00.000Z","K9_site",-122.77542,50.9194,"2018-09-01T00:00:00.000Z","2018-09-21T00:00:00.000Z","","","None","","None","",122,"","Camera Functioning","Unknown","","Parallel","",""
1,"E4_site-2018-06-22T00:00:00.000Z-2018-09-23T00:00:00.000Z","E4_site",-122.98253,51.0495,"2018-06-22T00:00:00.000Z","2018-09-23T00:00:00.000Z","","","None","","None","",537,"","Camera Functioning","Unknown","","Parallel","",""
